Category,Weight,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,3M Avg,6M Avg,Y/Y,IsLevel
CPI SA,100.0,-0.42248165303806484,0.47291422864139676,0.6400377846336402,0.8651438343614481,0.26700307420970404,0.170842649932057,0.297788428704604,nan,0.2950901819104068,0.3482644202266627,0.22835098853577485,0.2541949971929469,0.2301567867456574,0.33224331979003024,3.463530729385411,0
CPI NSA,100.0,-0.349423942850835,0.6314936039877539,0.850057387201586,1.0490077573940049,0.4713268481054689,0.36969147117456025,-0.020979754536887274,nan,0.2543398276415587,0.2872638121889093,0.15097919463296083,0.34093913800881115,0.3773756827795016,0.5036921875020898,3.5314250637863864,0
CPI NSA Level,,333.952,335.123,333.02,330.213,326.785,325.252,324.054,324.122,324.8,323.976,323.048,322.561,334.0316666666667,330.7241666666667,3.5314250637863864,1
Food CPI,13.39,0.19553678608104086,0.1500592415345281,0.49110651800530203,0.009607630205232809,0.3749335172446022,0.1847389793391052,0.6141782383541683,nan,0.2231153402878272,0.4300456162948496,0.12302133261223869,0.28488754987765486,0.27890084854029035,0.2343304454016352,2.9311169683264637,0
Food at Home CPI,8.56,0.19012828984279473,0.06331226043483351,0.6817139878541267,-0.16395755286299218,0.439561823614798,0.19149352329153047,0.6292063492063571,nan,0.2838101110133051,0.5149583912341882,0.01693388118166883,0.21966339626509068,0.31171817937725166,0.2337087220291819,2.7043088739927557,0
Food Away from Home CPI,4.83,0.22927180235503553,0.3003460840664163,0.22768252804010736,0.2415076613582645,0.3162846920770068,0.14927325469555885,0.6939530271021344,nan,0.14081250373465526,0.2868621810905525,0.2764206401045133,0.39923615264356727,0.25243347148718637,0.24406100376539822,3.3659046374918233,0
Energy CPI,7.36,-5.713754174799712,3.8840044420175523,3.808368283447816,10.873410704639097,0.6349578589803784,-1.4662633392152125,0.3428796267670897,nan,1.433145186352247,0.685464798981239,-0.6175919698580334,0.428866608322398,0.6595395168885521,2.0034539625116534,15.45137005619075,0
Energy Commodities CPI,3.79,-9.47769960594197,6.695244599127292,5.621489465862917,21.34594091076858,1.104567892898145,-3.2563400814170973,-0.31292736177899183,nan,3.4086787913607086,1.5848987780412216,-1.102429240348346,0.16549351756833808,0.9463448196827464,3.6722005302163114,27.038375792731763,0
Energy Services CPI,3.57,0.03194888178914557,0.2947056779358803,0.4996019965937126,0.22547555567677957,0.26778551633606096,0.38756320208652717,0.2723082887706507,nan,0.23318832030674308,0.3159838841284568,0.35072662112478614,0.27703215061618547,0.27541885210624617,0.28451347173635105,3.130791802461097,0
Core CPI SA,79.25,-0.016660666843182348,0.20809544962627768,0.376460730477457,0.19579505385114437,0.21605021740240815,0.2950448142634121,0.2329002576704653,nan,0.2177737336973129,0.3097218588179462,0.3125209822436803,0.23402152998077685,0.18929850442018412,0.2124642664629195,2.5657850563697515,0
Core CPI NSA,79.25,0.01068737642722084,0.31059877368575517,0.42226016848538883,0.3447944736857833,0.38921524325954415,0.4369058352949873,0.024513883634691425,nan,0.25275025002271523,0.3009301477293391,0.18759669147654368,0.26106152808014205,0.2478487728661216,0.3190769784731133,2.594072431813488,0
Core CPI NSA Level,,336.882,336.846,335.803,334.391,333.242,331.95,330.506,330.425,330.804,329.97,328.98,328.364,336.51033333333334,334.8523333333333,2.594072431813488,1
Rent SA,7.66,0.14953137136832773,0.36192650038866514,0.5450582216148581,0.19010331209758924,0.13143433382054592,0.2489839591629961,0.2703860119088297,nan,0.21564439484649256,0.28528838435959436,0.23377536876512117,0.22924260087826553,0.3521720311239503,0.2711729497421637,2.84208324425963,0
OER SA,26.14,0.24008187291091332,0.29678250439824083,0.5326609480358124,0.2840667901141014,0.22445192106468337,0.2196439601368061,0.314433418723592,nan,0.15704276395265282,0.33588569164249016,0.2762760235886397,0.3054884767777377,0.3565084417816555,0.2996146661100929,3.2508011303475692,0
Out of Town Lodging SA,0.916,-2.3233835166463157,0.4180902254096175,2.4421006164372816,0.2428539820678033,0.9616100586113951,-0.09829811427023438,2.1842762514931113,nan,0.8576524610071745,2.009135955404129,-0.9764138286045942,-2.0243588367850562,0.17893577506686112,0.2738288752682579,4.706281796426204,0
Airfares SA,0.659,0.21411952294951853,2.6858958722478565,2.8151013663239244,2.6730630169844227,1.359347570371816,6.5200915554912475,3.757957504652998,nan,1.9539720839314656,4.458659690206912,3.031597978386813,0.33972937092345834,1.9050389205070999,2.711269817394798,26.541069153963104,0
Medical Care SA,8.71,-0.13051022077136265,0.31376754476473145,-0.0650791853100241,-0.1631918778710384,0.49931310527298045,0.2581228787332579,0.3592229861754559,nan,0.18208009811426784,-0.10967576353838604,0.675765296015518,0.42451385897630534,0.039392712894448234,0.11873704080309078,2.0250565434510426,0
Used Cars SA,2.88,-0.22999361128857032,0.10176730322206673,-0.004448645943400109,-0.4202913798736274,-0.37513308949682633,-1.84060042887777,-0.8749422967503695,0.10047767192697954,0.6718270775522006,-0.2105160882872048,0.8234192853177724,0.4993628064955402,-0.0442249846699679,-0.46144997537635457,-1.7732028681911816,0
Apparel CPI,3.1,-0.5515470310573534,0.29194409892441264,0.6376837206562236,1.0303602913278587,1.277849355424454,0.306838879357918,0.3290795629459442,nan,0.5444439382204402,0.25884251716732365,0.10669593183654236,0.3303206863329633,0.12602692950776095,0.4988548857722523,3.8860182602466153,0
